,Carrosserie
0,BERLINE
1,BERLINE
2,BERLINE
3,BERLINE
4,BERLINE
5,BERLINE
6,BERLINE
7,BREAK
8,BREAK
9,BREAK
10,BREAK
11,BREAK
12,COUPE
13,CABRIOLET
14,CABRIOLET
15,COUPE
16,COUPE
17,COUPE
18,COUPE
19,COUPE
20,COUPE
21,BERLINE
22,BERLINE
23,BERLINE
24,BERLINE
25,BERLINE
26,BERLINE
27,BERLINE
28,BERLINE
29,BERLINE
30,BERLINE
31,BERLINE
32,BERLINE
33,BERLINE
34,BERLINE
35,BERLINE
36,BERLINE
37,BERLINE
38,BERLINE
39,BERLINE
40,BERLINE
41,BERLINE
42,BERLINE
43,BERLINE
44,BERLINE
45,BERLINE
46,BERLINE
47,BERLINE
48,BERLINE
49,BERLINE
50,BERLINE
51,BERLINE
52,BERLINE
53,BERLINE
54,BERLINE
55,BERLINE
56,BERLINE
57,BERLINE
58,BERLINE
59,BERLINE
60,BERLINE
61,BERLINE
62,BERLINE
63,BERLINE
64,BERLINE
65,BERLINE
66,BERLINE
67,BERLINE
68,BERLINE
69,BERLINE
70,BERLINE
71,BERLINE
72,BERLINE
73,BERLINE
74,BERLINE
75,BERLINE
76,BERLINE
77,BERLINE
78,BERLINE
79,BERLINE
80,BERLINE
81,BERLINE
82,BERLINE
83,BERLINE
84,BERLINE
85,BERLINE
86,BERLINE
87,BERLINE
88,BERLINE
89,BERLINE
90,BERLINE
91,BERLINE
92,BERLINE
93,BERLINE
94,BERLINE
95,BERLINE
96,BERLINE
97,BERLINE
98,BERLINE
99,BERLINE
100,BERLINE
101,BERLINE
102,BERLINE
103,BERLINE
104,BERLINE
105,BERLINE
106,BERLINE
107,BERLINE
108,BERLINE
109,BERLINE
110,BERLINE
111,BERLINE
112,BERLINE
113,BERLINE
114,BERLINE
115,BERLINE
116,BERLINE
117,BERLINE
118,BERLINE
119,BERLINE
120,BERLINE
121,BERLINE
122,BERLINE
123,BERLINE
124,BERLINE
125,BERLINE
126,BERLINE
127,BERLINE
128,BERLINE
129,BERLINE
130,BERLINE
131,BERLINE
132,BERLINE
133,BERLINE
134,BERLINE
135,BERLINE
136,BERLINE
137,BERLINE
138,BERLINE
139,BERLINE
140,BERLINE
141,BERLINE
142,BERLINE
143,BERLINE
144,BERLINE
145,BERLINE
146,BERLINE
147,BERLINE
148,BERLINE
149,BERLINE
150,BERLINE
151,BERLINE
152,BERLINE
153,BERLINE
154,BERLINE
155,BERLINE
156,BERLINE
157,BERLINE
158,BERLINE
159,BERLINE
160,BERLINE
161,BERLINE
162,BERLINE
163,BERLINE
164,BERLINE
165,BERLINE
166,BERLINE
167,BERLINE
168,BERLINE
169,BERLINE
170,BERLINE
171,BERLINE
172,BERLINE
173,BERLINE
174,BERLINE
175,BERLINE
176,BERLINE
177,BERLINE
178,BERLINE
179,BERLINE
180,CABRIOLET
181,CABRIOLET
182,CABRIOLET
183,BERLINE
184,BERLINE
185,BERLINE
186,BERLINE
187,COUPE
188,COUPE
189,COUPE
190,COUPE
191,COUPE
192,COUPE
193,COUPE
194,CABRIOLET
195,COUPE
196,COUPE
197,COUPE
198,COUPE
199,COUPE
200,BERLINE
201,COUPE
202,COUPE
203,COUPE
204,COUPE
205,COUPE
206,COUPE
207,COUPE
208,COUPE
209,COUPE
210,COUPE
211,COUPE
212,COUPE
213,COUPE
214,COUPE
215,COUPE
216,CABRIOLET
217,COUPE
218,COUPE
219,COUPE
220,COUPE
221,COUPE
222,CABRIOLET
223,COUPE
224,COUPE
225,COUPE
226,COUPE
227,COUPE
228,COUPE
229,COUPE
230,COUPE
231,COUPE
232,COUPE
233,COUPE
234,COUPE
235,COUPE
236,CABRIOLET
237,COUPE
238,COUPE
239,COUPE
240,COUPE
241,COUPE
242,COUPE
243,COUPE
244,COUPE
245,COUPE
246,COUPE
247,COUPE
248,COUPE
249,COUPE
250,COUPE
251,COUPE
252,COUPE
253,COUPE
254,COUPE
255,COUPE
256,COUPE
257,COUPE
258,COUPE
259,COUPE
260,COUPE
261,BERLINE
262,BERLINE
263,BERLINE
264,BERLINE
265,BERLINE
266,BERLINE
267,BERLINE
268,BERLINE
269,BERLINE
270,BERLINE
271,BERLINE
272,BERLINE
273,BERLINE
274,BERLINE
275,BERLINE
276,BERLINE
277,BERLINE
278,BERLINE
279,BERLINE
280,BERLINE
281,BERLINE
282,BERLINE
283,BERLINE
284,BERLINE
285,BERLINE
286,BERLINE
287,BERLINE
288,BERLINE
289,BERLINE
290,BERLINE
291,BERLINE
292,BERLINE
293,BERLINE
294,BERLINE
295,BERLINE
296,BERLINE
297,BERLINE
298,BERLINE
299,CABRIOLET
300,CABRIOLET
301,CABRIOLET
302,CABRIOLET
303,CABRIOLET
304,CABRIOLET
305,CABRIOLET
306,CABRIOLET
307,CABRIOLET
308,CABRIOLET
309,CABRIOLET
310,BERLINE
311,BERLINE
312,BERLINE
313,BERLINE
314,BERLINE
315,BERLINE
316,BERLINE
317,BERLINE
318,BERLINE
319,BERLINE
320,BERLINE
321,BERLINE
322,BERLINE
323,BERLINE
324,BERLINE
325,BERLINE
326,BERLINE
327,BERLINE
328,BERLINE
329,BERLINE
330,BERLINE
331,BERLINE
332,BERLINE
333,BERLINE
334,BERLINE
335,BERLINE
336,BERLINE
337,BERLINE
338,TS TERRAINS/CHEMINS
339,TS TERRAINS/CHEMINS
340,TS TERRAINS/CHEMINS
341,TS TERRAINS/CHEMINS
342,TS TERRAINS/CHEMINS
343,TS TERRAINS/CHEMINS
344,TS TERRAINS/CHEMINS
345,TS TERRAINS/CHEMINS
